filename,time,position,hotel_name,price,rating,is_ad,participant_id,device_model,android_version,screen_width,screen_height
1763994867896_574.jpg,2025-11-24T15:34:27.896000,4,Little National Hotel Sydney,,,False,739a55c0-bb91-4066-898b-783475d44d11,Xiaomi 23113RKC6C,36 (VANILLA_ICE_CREAM) 16,1440,3200
1764162843446_592.jpg,2025-11-26T14:14:03.446000,1,Little National Hotel Sydney,525.0,9.1,False,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457
1764162843446_592.jpg,2025-11-26T14:14:03.446000,2,The Ultimo,584.0,8.0,True,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457
1764162843446_592.jpg,2025-11-26T14:14:03.446000,3,Song Hotel Sydney,503.0,8.8,False,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457
1764164858348_605.jpg,2025-11-26T14:47:38.348000,1,Little National Hotel Sydney,525.0,9.1,False,0e37ec0f-78f2-48f2-ab07-14f8ffd9b642,CROSSCALL Trekker-X4,28 (P) 9,1080,1798
1764164858348_605.jpg,2025-11-26T14:47:38.348000,2,Falcon Lodge,140.0,7.2,False,0e37ec0f-78f2-48f2-ab07-14f8ffd9b642,CROSSCALL Trekker-X4,28 (P) 9,1080,1798
1764164858348_605.jpg,2025-11-26T14:47:38.348000,3,The Pacific House,,8.3,False,0e37ec0f-78f2-48f2-ab07-14f8ffd9b642,CROSSCALL Trekker-X4,28 (P) 9,1080,1798
1764166491162_619.jpg,2025-11-26T15:14:51.162000,1,The Pacific House,300.0,8.3,False,739a55c0-bb91-4066-898b-783475d44d11,Xiaomi 23113RKC6C,36 (VANILLA_ICE_CREAM) 16,1440,3200
1764166491162_619.jpg,2025-11-26T15:14:51.162000,2,Falcon Lodge,140.0,7.2,False,739a55c0-bb91-4066-898b-783475d44d11,Xiaomi 23113RKC6C,36 (VANILLA_ICE_CREAM) 16,1440,3200
1764166491162_619.jpg,2025-11-26T15:14:51.162000,3,The Jensen Potts Point,273.0,7.9,False,739a55c0-bb91-4066-898b-783475d44d11,Xiaomi 23113RKC6C,36 (VANILLA_ICE_CREAM) 16,1440,3200
