filename,time,participant_id,device_model,android_version,screen_width,screen_height,rank,product_name,price
1764234517897_639.jpg,2025-11-27T10:08:37.897000,0e37ec0f-78f2-48f2-ab07-14f8ffd9b642,CROSSCALL Trekker-X4,28 (P) 9,1080,1798,2,,
1764235719388_653.jpg,2025-11-27T10:28:39.388000,1f3b7cb8-df82-4259-85d7-ded487a42a5e,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,1,Chambre Lit King-Size,476.0
1764235719388_653.jpg,2025-11-27T10:28:39.388000,1f3b7cb8-df82-4259-85d7-ded487a42a5e,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,2,Chambre Lit King-Size avec Douche Accessible en Fauteuil Roulant - Adaptée aux Personnes à Mobilité Réduite,
1764235893274_659.jpg,2025-11-27T10:31:33.274000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,1,Chambre Lit King-Size,476.0
1764235893274_659.jpg,2025-11-27T10:31:33.274000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,2,,
1764326359901_693.jpg,2025-11-28T11:39:19.901000,1f3b7cb8-df82-4259-85d7-ded487a42a5e,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,1,Chambre Lit King-Size,472.0
1764326359901_693.jpg,2025-11-28T11:39:19.901000,1f3b7cb8-df82-4259-85d7-ded487a42a5e,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,2,,
1764340282212_698.jpg,2025-11-28T15:31:22.212000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,1,Chambre Lit King-Size,472.0
1764929549921_787.jpg,2025-12-05T11:12:29.921000,1f3b7cb8-df82-4259-85d7-ded487a42a5e,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,1,Chambre Lit King-Size,516.0
1764929549921_787.jpg,2025-12-05T11:12:29.921000,1f3b7cb8-df82-4259-85d7-ded487a42a5e,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,2,Chambre Lit King-Size - Étage Supérieur,
1765025385087_854.jpg,2025-12-06T13:49:45.087000,1f3b7cb8-df82-4259-85d7-ded487a42a5e,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,1,Chambre Lit King-Size,519.0
1765135447299_894.jpg,2025-12-07T20:24:07.299000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,1,Chambre Lit King-Size,516.0
1765205747000_982.jpg,2025-12-08T15:55:47,ec18e38e-cea3-4817-abf5-6a89e56b8d54,samsung SM-G970F,31 (S) 12,1080,2020,1,Chambre Lit King-Size,567.0
